Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
32.991	8.500	2.100	2.013
33.041	8.500	2.100	2.009
33.091	8.500	2.100	2.013
33.141	8.500	2.100	2.013
33.191	8.500	2.100	2.013
33.241	8.500	2.100	2.014
33.292	8.500	2.100	2.011
33.341	8.500	2.100	2.011
33.391	8.500	2.100	2.012
33.442	8.500	2.100	2.009
33.491	8.500	2.100	2.012
33.541	8.500	2.100	2.005
33.591	8.500	2.100	1.999
33.640	8.500	2.100	1.997
33.691	8.500	2.100	2.000
33.741	8.500	2.100	2.008
33.790	8.500	2.100	2.001
33.841	8.500	2.100	2.005
33.891	8.500	2.100	1.998
33.941	8.500	2.100	2.005
33.991	8.500	2.100	2.003
34.041	8.500	2.100	1.997
34.091	8.500	2.100	2.002
34.141	8.500	2.100	2.009
34.191	8.500	2.100	2.003
34.241	8.500	2.100	1.997
34.291	8.500	2.100	2.002
34.342	8.500	2.100	2.009
34.392	8.500	2.100	1.999
34.441	8.500	2.100	2.008
34.492	8.500	2.100	2.003
34.542	8.500	2.100	2.009
34.592	8.500	2.100	2.011
34.642	8.500	2.100	2.014
34.693	8.500	2.100	2.013
34.743	8.500	2.100	2.015
34.793	8.500	2.100	2.013
34.843	8.500	2.100	2.013
34.894	8.500	2.100	2.016
34.944	8.500	2.100	2.016
34.994	8.500	2.100	2.014
35.045	8.500	2.100	2.014
35.095	8.500	2.100	2.015
35.145	8.500	2.100	2.014
35.196	8.500	2.100	2.012
35.246	8.500	2.100	2.014
35.296	8.500	2.100	2.015
35.346	8.500	2.100	2.015
35.396	8.500	2.100	2.014
35.446	8.500	2.100	2.014
35.496	8.500	2.100	2.015
35.546	8.500	2.100	2.011
35.596	8.500	2.100	2.014
35.645	8.500	2.100	2.015
35.695	8.500	2.100	2.015
35.745	8.500	2.100	2.015
35.795	8.500	2.100	2.012
35.846	8.500	2.100	2.016
35.895	8.500	2.100	2.014
35.945	8.500	2.100	2.015
35.996	8.500	2.100	2.014
36.046	8.500	2.100	2.016
36.095	8.500	2.100	2.014
36.146	8.500	2.100	2.015
36.196	8.500	2.100	2.015
36.245	8.500	2.100	2.016
36.295	8.500	2.100	2.015
36.345	8.500	2.100	2.016
36.395	8.500	2.100	2.014
36.445	8.500	2.100	2.016
36.495	8.500	2.100	2.015
36.545	8.500	2.100	2.013
36.595	8.500	2.100	2.018
36.646	8.500	2.100	2.015
36.695	8.500	2.100	2.016
36.745	8.500	2.100	2.017
36.796	8.500	2.100	2.018
36.845	8.500	2.100	2.014
36.895	8.500	2.100	2.014
36.946	8.500	2.100	2.015
36.996	8.500	2.100	2.016
37.045	8.500	2.100	2.017
37.096	8.500	2.100	2.017
37.146	8.500	2.100	2.017
37.196	8.500	2.100	2.016
37.246	8.500	2.100	2.017
37.296	8.500	2.100	2.017
37.346	8.500	2.100	2.017
37.396	8.500	2.100	2.018
37.446	8.500	2.100	2.018
37.496	8.500	2.100	2.018
37.546	8.500	2.100	2.016
37.597	8.500	2.100	2.018
37.647	8.500	2.100	2.018
37.697	8.500	2.100	2.015
37.748	8.500	2.100	2.016
37.798	8.500	2.100	2.018
37.847	8.500	2.100	2.012
37.898	8.500	2.100	2.015
37.948	8.500	2.100	2.018
37.997	8.500	2.100	2.017
38.047	8.500	2.100	2.017
38.098	8.500	2.100	2.011
38.147	8.357	2.100	2.016
38.197	8.357	2.100	2.018
38.248	8.357	2.100	2.018
38.298	8.357	2.100	2.018
38.348	8.357	2.100	2.015
38.399	8.357	2.100	2.017
38.449	8.357	2.100	2.018
38.498	8.357	2.100	2.016
38.549	8.357	2.100	2.017
38.599	8.357	2.100	2.018
38.648	8.357	2.100	2.018
38.699	8.357	2.100	2.017
38.749	8.357	2.100	2.018
38.798	8.357	2.100	2.018
38.848	8.357	2.100	2.018
38.898	8.357	2.100	2.011
38.947	8.357	2.100	2.016
38.998	8.357	2.100	2.019
39.048	8.357	2.100	2.019
39.098	8.357	2.100	2.018
39.148	8.357	2.100	2.018
39.197	8.357	2.100	2.019
39.247	8.357	2.100	2.019
39.298	8.357	2.100	2.014
39.347	8.357	2.100	2.019
39.397	8.357	2.100	2.015
39.448	8.357	2.100	2.018
39.498	8.357	2.100	2.018
